                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.90758,                0.67247,                 1.1668,                0.80834,                0.78302,                0.82332,                0.56316,                  1.202,                0.83237,                 1.4661,              0.0010298,              0.0010298,              0.0010298
                    100,                0.90171,                0.65778,                 1.1703,                0.77378,                0.82075,                0.81725,                0.55762,                 1.1908,                0.80146,                 1.4643,              0.0010199,              0.0010199,              0.0010199
                    101,                 0.9315,                0.65869,                 1.1972,                0.80589,                0.79331,                0.81548,                0.55445,                 1.2002,                0.83107,                 1.4572,                0.00101,                0.00101,                0.00101
                    102,                 0.9116,                0.74127,                 1.1758,                0.82241,                0.78731,                0.82145,                0.56023,                  1.204,                0.82446,                 1.4768,              0.0010001,              0.0010001,              0.0010001
                    103,                0.91564,                0.69615,                 1.1942,                0.80393,                0.79824,                 0.8148,                0.55636,                 1.2051,                 0.8185,                 1.4838,              0.0009902,              0.0009902,              0.0009902
                    104,                0.92446,                0.68909,                  1.215,                0.81497,                0.79331,                0.81869,                0.55423,                 1.2276,                0.83719,                 1.4853,              0.0009803,              0.0009803,              0.0009803
                    105,                0.89895,                0.65342,                 1.1658,                 0.8224,                0.79245,                0.81986,                0.55314,                 1.2133,                0.84486,                 1.4825,              0.0009704,              0.0009704,              0.0009704
                    106,                0.88369,                 0.6329,                 1.1573,                0.80809,                0.78816,                0.81734,                0.55625,                 1.2077,                0.83495,                 1.4915,              0.0009605,              0.0009605,              0.0009605
                    107,                0.88923,                0.63414,                 1.1602,                0.81046,                0.79245,                0.81598,                0.55348,                 1.2121,                0.85598,                 1.4794,              0.0009506,              0.0009506,              0.0009506
                    108,                0.89255,                 0.6583,                 1.1715,                 0.8153,                0.79417,                0.81216,                0.54954,                 1.2283,                0.83951,                 1.4832,              0.0009407,              0.0009407,              0.0009407
                    109,                0.87375,                0.64518,                 1.1551,                0.81636,                0.79299,                0.83368,                0.56368,                 1.2298,                0.81999,                 1.4844,              0.0009308,              0.0009308,              0.0009308
                    110,                0.87576,                0.62824,                 1.1549,                0.82296,                 0.7854,                0.81931,                0.55562,                 1.2002,                0.84663,                 1.4701,              0.0009209,              0.0009209,              0.0009209
                    111,                 0.8628,                 0.6223,                 1.1489,                0.81174,                0.78397,                0.81339,                0.55488,                 1.2154,                0.82344,                 1.4941,               0.000911,               0.000911,               0.000911
                    112,                0.88132,                0.62745,                 1.1682,                0.79423,                0.80017,                0.82208,                0.56214,                 1.2353,                0.85156,                 1.5079,              0.0009011,              0.0009011,              0.0009011
                    113,                0.86934,                0.62977,                 1.1499,                0.80591,                0.79674,                0.81946,                0.55395,                 1.2309,                0.85542,                 1.5066,              0.0008912,              0.0008912,              0.0008912
                    114,                0.85541,                0.62417,                 1.1493,                0.81506,                0.79331,                0.82373,                0.55864,                 1.2296,                 0.8459,                 1.4883,              0.0008813,              0.0008813,              0.0008813
                    115,                0.86617,                0.61215,                 1.1405,                0.82266,                0.78773,                0.81814,                0.55929,                 1.2156,                0.84948,                 1.5017,              0.0008714,              0.0008714,              0.0008714
                    116,                0.89298,                0.62607,                 1.1949,                0.80123,                0.80202,                0.82168,                  0.558,                 1.2207,                0.81778,                 1.4971,              0.0008615,              0.0008615,              0.0008615
                    117,                0.85396,                0.60385,                 1.1411,                0.82981,                0.78615,                0.82321,                0.55688,                 1.2176,                0.83206,                 1.4787,              0.0008516,              0.0008516,              0.0008516
                    118,                0.86916,                0.60593,                 1.1499,                0.80556,                0.79588,                0.81881,                0.56146,                 1.2129,                0.84465,                  1.488,              0.0008417,              0.0008417,              0.0008417
                    119,                0.85171,                0.61898,                 1.1349,                0.81231,                0.79801,                0.82476,                0.56424,                 1.2212,                0.85028,                  1.481,              0.0008318,              0.0008318,              0.0008318
                    120,                0.84726,                 0.6057,                 1.1462,                0.81309,                0.79074,                0.81508,                0.55433,                 1.2158,                0.83553,                 1.4816,              0.0008219,              0.0008219,              0.0008219
                    121,                0.85385,                0.62749,                 1.1416,                0.80811,                0.80902,                0.81767,                0.55923,                 1.2091,                0.83611,                 1.4907,               0.000812,               0.000812,               0.000812
                    122,                0.83469,                 0.5953,                 1.1307,                0.79901,                 0.8046,                0.82208,                0.56518,                 1.2024,                0.82759,                 1.4705,              0.0008021,              0.0008021,              0.0008021
                    123,                0.87942,                0.61939,                 1.1623,                0.83757,                0.78275,                0.81932,                0.55927,                 1.2041,                0.85082,                  1.482,              0.0007922,              0.0007922,              0.0007922
                    124,                0.82865,                0.58896,                 1.1315,                0.82204,                 0.7916,                0.81544,                0.55263,                 1.2103,                0.82932,                 1.4938,              0.0007823,              0.0007823,              0.0007823
                    125,                0.82455,                0.57938,                 1.1198,                 0.8096,                0.79498,                0.82405,                0.56877,                 1.1982,                0.84577,                 1.4729,              0.0007724,              0.0007724,              0.0007724
                    126,                0.83558,                0.57786,                 1.1179,                0.81301,                0.79846,                0.82476,                0.56672,                 1.1967,                 0.8543,                 1.4843,              0.0007625,              0.0007625,              0.0007625
                    127,                0.83333,                0.57894,                 1.1249,                0.79102,                0.81389,                0.81719,                0.56088,                 1.2198,                0.86472,                 1.4931,              0.0007526,              0.0007526,              0.0007526
                    128,                0.82633,                0.59737,                 1.1163,                0.80458,                0.78645,                0.81797,                0.56505,                 1.2146,                0.83601,                 1.4791,              0.0007427,              0.0007427,              0.0007427
                    129,                0.83514,                0.58595,                 1.1367,                0.83675,                0.77101,                0.80931,                0.55657,                 1.2226,                0.86038,                 1.4852,              0.0007328,              0.0007328,              0.0007328
                    130,                0.84399,                0.58687,                 1.1357,                0.81856,                0.80091,                0.81902,                0.56525,                 1.2172,                0.85725,                 1.4899,              0.0007229,              0.0007229,              0.0007229
                    131,                0.80339,                0.55944,                 1.1041,                0.82831,                0.80532,                0.82122,                 0.5656,                 1.2231,                0.83941,                 1.4979,               0.000713,               0.000713,               0.000713
                    132,                0.82452,                0.58956,                  1.116,                0.82943,                0.78822,                 0.8171,                0.55778,                  1.209,                0.84611,                 1.4818,              0.0007031,              0.0007031,              0.0007031
                    133,                0.81871,                0.57519,                 1.1193,                0.81169,                0.80587,                0.81715,                0.56022,                 1.2216,                0.85435,                    1.5,              0.0006932,              0.0006932,              0.0006932
                    134,                0.81378,                0.56448,                 1.1136,                0.82152,                0.80189,                0.81835,                0.56007,                 1.2191,                0.82931,                 1.4951,              0.0006833,              0.0006833,              0.0006833
                    135,                0.80043,                0.57004,                 1.1118,                0.83304,                0.79846,                0.82465,                0.56594,                 1.2283,                0.84382,                 1.5063,              0.0006734,              0.0006734,              0.0006734
                    136,                0.81308,                0.56634,                 1.1113,                0.82334,                0.78816,                0.81409,                  0.557,                 1.2317,                0.83809,                 1.5086,              0.0006635,              0.0006635,              0.0006635
                    137,                0.80585,                0.58518,                 1.1153,                0.81951,                0.79438,                0.81685,                0.55705,                 1.2087,                0.84155,                 1.4992,              0.0006536,              0.0006536,              0.0006536
                    138,                0.78996,                0.56503,                 1.1032,                0.80917,                0.81046,                0.82117,                0.56671,                 1.2039,                0.82726,                 1.4888,              0.0006437,              0.0006437,              0.0006437
                    139,                0.80254,                0.56414,                  1.116,                0.80697,                0.80532,                0.81612,                 0.5617,                 1.2126,                0.82922,                 1.4962,              0.0006338,              0.0006338,              0.0006338
                    140,                0.78999,                0.56068,                 1.1069,                0.82837,                0.78647,                0.81714,                0.56024,                 1.2217,                0.83125,                  1.509,              0.0006239,              0.0006239,              0.0006239
                    141,                0.82206,                0.56523,                 1.1275,                 0.8287,                0.79417,                0.81942,                0.56283,                 1.2262,                 0.8229,                 1.5249,               0.000614,               0.000614,               0.000614
                    142,                0.79783,                0.66537,                 1.1027,                0.82525,                0.78302,                0.81813,                 0.5605,                 1.2132,                0.85384,                  1.504,              0.0006041,              0.0006041,              0.0006041
                    143,                0.80346,                0.56723,                 1.1113,                0.81667,                0.78902,                0.81397,                0.55858,                 1.2069,                0.84725,                 1.4979,              0.0005942,              0.0005942,              0.0005942
                    144,                 0.7744,                0.54242,                 1.0929,                 0.7982,                0.79377,                0.81426,                0.55899,                 1.2092,                0.83953,                 1.5056,              0.0005843,              0.0005843,              0.0005843
                    145,                0.79049,                0.54907,                 1.1102,                0.81992,                0.78878,                0.81641,                0.55877,                 1.2125,                0.84624,                 1.5203,              0.0005744,              0.0005744,              0.0005744
                    146,                0.78927,                0.54717,                 1.1027,                0.83237,                0.77507,                0.82033,                0.56258,                 1.2037,                0.84449,                 1.5039,              0.0005645,              0.0005645,              0.0005645
                    147,                0.77714,                0.54133,                 1.0987,                0.82976,                0.79844,                 0.8117,                0.55539,                 1.2071,                0.85418,                 1.5058,              0.0005546,              0.0005546,              0.0005546
                    148,                0.76616,                0.53337,                 1.0921,                0.83848,                0.78559,                 0.8114,                0.55539,                 1.2237,                 0.8476,                 1.5322,              0.0005447,              0.0005447,              0.0005447
                    149,                0.75556,                0.56502,                 1.0709,                0.83131,                0.79456,                0.81599,                0.56172,                 1.2082,                0.83208,                 1.5114,              0.0005348,              0.0005348,              0.0005348
                    150,                0.77385,                0.53423,                 1.0951,                0.83943,                0.78902,                0.82235,                0.56877,                 1.2102,                0.84047,                 1.5212,              0.0005249,              0.0005249,              0.0005249
                    151,                0.76299,                0.52969,                 1.0863,                0.82582,                0.80274,                0.82129,                0.56535,                 1.2142,                0.83799,                 1.5169,               0.000515,               0.000515,               0.000515
                    152,                 0.7756,                0.53473,                 1.0918,                0.83715,                0.78917,                0.82252,                0.56627,                 1.2215,                0.83438,                  1.517,              0.0005051,              0.0005051,              0.0005051
                    153,                0.78744,                0.54208,                  1.111,                0.82919,                0.79936,                0.82643,                 0.5712,                 1.2038,                0.82113,                 1.4989,              0.0004952,              0.0004952,              0.0004952
                    154,                0.76824,                0.53364,                 1.0861,                0.83611,                0.79588,                0.82327,                0.56704,                 1.2085,                0.83298,                 1.5169,              0.0004853,              0.0004853,              0.0004853
                    155,                0.76266,                0.53268,                 1.0901,                0.82364,                0.80017,                0.81432,                0.55771,                 1.2148,                0.84794,                 1.5191,              0.0004754,              0.0004754,              0.0004754
                    156,                0.76939,                0.53499,                 1.0857,                0.81303,                0.80925,                0.81745,                0.56229,                 1.2182,                0.85954,                 1.5263,              0.0004655,              0.0004655,              0.0004655
                    157,                0.75332,                0.51909,                 1.0842,                0.82197,                0.79589,                0.81178,                0.56136,                 1.2151,                0.84865,                 1.5214,              0.0004556,              0.0004556,              0.0004556
                    158,                0.76243,                0.52386,                 1.0884,                0.82182,                0.80693,                0.81806,                0.56532,                 1.2133,                0.84487,                 1.5262,              0.0004457,              0.0004457,              0.0004457
                    159,                0.76663,                0.52748,                 1.0923,                0.82724,                0.78731,                0.81738,                 0.5605,                 1.2154,                0.84954,                 1.5269,              0.0004358,              0.0004358,              0.0004358
                    160,                0.75484,                0.51887,                 1.0871,                0.80422,                0.81732,                0.81213,                0.55954,                 1.2154,                0.84271,                 1.5271,              0.0004259,              0.0004259,              0.0004259
                    161,                0.76135,                0.51918,                 1.0783,                0.82304,                0.79588,                0.81505,                0.55859,                 1.2251,                0.85686,                 1.5327,               0.000416,               0.000416,               0.000416
                    162,                0.75185,                0.52553,                 1.0905,                0.81779,                0.79503,                0.81021,                0.55225,                 1.2282,                0.85092,                 1.5299,              0.0004061,              0.0004061,              0.0004061
                    163,                0.74415,                0.51049,                  1.084,                0.84427,                 0.7811,                0.82057,                0.56204,                 1.2227,                0.83799,                 1.5391,              0.0003962,              0.0003962,              0.0003962
                    164,                0.75379,                 0.5208,                 1.0911,                0.83333,                0.79245,                0.81894,                0.56517,                  1.213,                0.84568,                  1.515,              0.0003863,              0.0003863,              0.0003863
                    165,                0.74213,                0.52055,                 1.0768,                0.84188,                0.78388,                0.82029,                0.56425,                 1.2136,                0.83239,                 1.5235,              0.0003764,              0.0003764,              0.0003764
                    166,                0.73932,                0.50828,                  1.077,                0.82371,                 0.7976,                0.82013,                0.56519,                 1.2286,                0.83087,                  1.541,              0.0003665,              0.0003665,              0.0003665
                    167,                0.73633,                0.50417,                 1.0771,                0.83091,                0.80103,                0.81873,                0.56117,                 1.2258,                0.84465,                 1.5406,              0.0003566,              0.0003566,              0.0003566
                    168,                0.73879,                0.51464,                 1.0785,                0.81851,                0.79245,                0.81598,                0.56009,                 1.2272,                0.84383,                 1.5487,              0.0003467,              0.0003467,              0.0003467
                    169,                0.73834,                 0.5015,                 1.0792,                0.82843,                0.79509,                 0.8143,                0.55859,                 1.2276,                0.84023,                 1.5457,              0.0003368,              0.0003368,              0.0003368
                    170,                0.72948,                 0.5067,                 1.0727,                 0.8345,                0.78559,                0.81779,                0.56011,                 1.2232,                0.84491,                 1.5389,              0.0003269,              0.0003269,              0.0003269
                    171,                0.72886,                0.50115,                 1.0684,                0.81054,                0.80355,                0.81338,                0.56101,                 1.2188,                0.83634,                 1.5325,               0.000317,               0.000317,               0.000317
                    172,                 0.7351,                0.49943,                 1.0803,                0.82504,                0.80076,                0.81423,                0.56096,                 1.2218,                0.83835,                  1.533,              0.0003071,              0.0003071,              0.0003071
                    173,                 0.7306,                0.49845,                 1.0698,                0.82114,                0.80274,                0.81788,                0.56194,                 1.2238,                0.84796,                 1.5377,              0.0002972,              0.0002972,              0.0002972
                    174,                0.71548,                 0.4879,                 1.0621,                0.82955,                0.79931,                0.81877,                0.55919,                 1.2306,                0.84467,                 1.5451,              0.0002873,              0.0002873,              0.0002873
                    175,                0.72116,                0.49628,                 1.0718,                0.82291,                0.80703,                0.81589,                0.56174,                  1.227,                0.84675,                 1.5415,              0.0002774,              0.0002774,              0.0002774
                    176,                0.70082,                0.68668,                 1.0436,                0.82274,                0.80409,                0.81508,                 0.5618,                 1.2272,                0.85137,                 1.5408,              0.0002675,              0.0002675,              0.0002675
                    177,                0.71412,                0.48117,                 1.0631,                0.82676,                0.80017,                 0.8175,                0.56347,                 1.2294,                0.84569,                 1.5469,              0.0002576,              0.0002576,              0.0002576
                    178,                0.72456,                0.52597,                 1.0828,                0.82361,                0.80617,                 0.8179,                0.56474,                 1.2209,                0.83889,                 1.5399,              0.0002477,              0.0002477,              0.0002477
                    179,                0.71939,                0.49827,                 1.0652,                0.82003,                0.80111,                0.81737,                0.56655,                 1.2206,                0.84699,                 1.5405,              0.0002378,              0.0002378,              0.0002378
                    180,                0.70419,                0.48345,                 1.0534,                0.83056,                0.79931,                0.81551,                0.56589,                 1.2122,                0.84309,                 1.5309,              0.0002279,              0.0002279,              0.0002279
                    181,                0.73095,                0.51598,                 1.0925,                0.83717,                0.79846,                0.82137,                0.57074,                 1.2153,                0.83705,                 1.5391,               0.000218,               0.000218,               0.000218
                    182,                0.71622,                0.48859,                 1.0626,                0.82994,                0.80778,                0.82025,                0.56905,                  1.212,                0.84043,                 1.5351,              0.0002081,              0.0002081,              0.0002081
                    183,                0.73186,                0.48427,                 1.0814,                0.82136,                0.81234,                0.81872,                 0.5672,                 1.2161,                0.83466,                 1.5403,              0.0001982,              0.0001982,              0.0001982
                    184,                 0.7089,                 0.4815,                 1.0582,                0.83411,                0.79674,                0.81906,                  0.568,                 1.2196,                0.83239,                   1.54,              0.0001883,              0.0001883,              0.0001883
                    185,                0.70361,                0.47938,                  1.055,                0.82957,                0.80532,                0.81944,                0.56677,                 1.2243,                0.83339,                  1.544,              0.0001784,              0.0001784,              0.0001784
                    186,                0.70182,                0.47892,                 1.0559,                0.83703,                0.79588,                 0.8187,                0.56546,                 1.2259,                0.83521,                 1.5507,              0.0001685,              0.0001685,              0.0001685
                    187,                 0.6975,                0.47489,                 1.0562,                0.84069,                0.78748,                0.81891,                0.56555,                 1.2263,                0.83159,                 1.5512,              0.0001586,              0.0001586,              0.0001586
                    188,                 0.7144,                 0.5641,                 1.0744,                 0.8278,                0.80805,                0.81954,                0.56597,                 1.2285,                0.83273,                 1.5535,              0.0001487,              0.0001487,              0.0001487
                    189,                 0.7136,                0.50034,                 1.0922,                0.82099,                0.81132,                0.81945,                0.56728,                 1.2238,                0.83022,                  1.549,              0.0001388,              0.0001388,              0.0001388
                    190,                0.61415,                0.37769,                 1.0217,                 0.8106,                0.81475,                0.81719,                0.56513,                   1.22,                0.82816,                 1.5532,              0.0001289,              0.0001289,              0.0001289
                    191,                0.61172,                0.35788,                 1.0181,                0.81803,                0.80576,                 0.8142,                0.56138,                 1.2163,                 0.8312,                 1.5528,               0.000119,               0.000119,               0.000119
                    192,                0.61448,                0.35156,                 1.0183,                0.81822,                0.80274,                0.81447,                0.56195,                 1.2119,                0.83339,                 1.5468,              0.0001091,              0.0001091,              0.0001091
                    193,                0.60477,                0.34131,                 1.0332,                0.82277,                0.80027,                0.81346,                0.56132,                 1.2145,                 0.8402,                 1.5484,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.59394,                0.34839,                 1.0085,                0.81293,                 0.8036,                0.81427,                0.56225,                 1.2133,                0.84276,                 1.5482,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.58236,                0.34206,                 1.0076,                0.81373,                0.80925,                0.81488,                0.56165,                 1.2132,                0.84389,                 1.5498,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.59296,                 0.3354,                 1.0026,                 0.8155,                0.80789,                 0.8164,                0.56253,                 1.2148,                0.84894,                 1.5515,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                 0.5816,                0.32617,                0.99677,                0.82635,                0.79846,                0.81608,                0.56218,                 1.2136,                0.84863,                 1.5524,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.57343,                0.33489,                0.99789,                0.82243,                0.80637,                0.81593,                0.56254,                 1.2146,                0.84987,                 1.5559,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.58353,                0.33887,                 1.0029,                0.81965,                0.81304,                0.81607,                0.56382,                 1.2156,                0.84981,                 1.5579,               3.98e-05,               3.98e-05,               3.98e-05
